season,attendance,type,metric,team,lower,upper
2007,68756.0,historical,home_avg,New England,,
2008,68756.0,historical,home_avg,New England,,
2009,68756.0,historical,home_avg,New England,,
2010,68756.0,historical,home_avg,New England,,
2011,68756.0,historical,home_avg,New England,,
2012,68755.0,historical,home_avg,New England,,
2013,68756.0,historical,home_avg,New England,,
2014,68756.0,historical,home_avg,New England,,
2015,66829.0,historical,home_avg,New England,,
2016,66829.0,historical,home_avg,New England,,
2017,65878.0,historical,home_avg,New England,,
2018,65878.0,historical,home_avg,New England,,
2019,65753.0,historical,home_avg,New England,,
2020,,historical,home_avg,New England,,
2021,65878.0,historical,home_avg,New England,,
2022,65878.0,historical,home_avg,New England,,
2023,63018.0,historical,home_avg,New England,,
2024,64634.0,historical,home_avg,New England,,
2025,63826.45798288562,forecast,home_avg,New England,62250.08981466114,65402.8261511101
2026,63459.96688764522,forecast,home_avg,New England,61230.64564484893,65689.2881304415
2027,63093.47579240482,forecast,home_avg,New England,60363.126033605746,65823.82555120389
2028,62726.984697164415,forecast,home_avg,New England,59574.248360715465,65879.72103361337
2029,62360.49360192402,forecast,home_avg,New England,58835.627220207265,65885.35998364077
2006,70478.0,historical,road_avg,New England,,
2007,71637.0,historical,road_avg,New England,,
2008,68762.0,historical,road_avg,New England,,
2009,71956.0,historical,road_avg,New England,,
2010,67338.0,historical,road_avg,New England,,
2011,70580.0,historical,road_avg,New England,,
2012,71526.0,historical,road_avg,New England,,
2013,71346.0,historical,road_avg,New England,,
2014,70241.0,historical,road_avg,New England,,
2015,75206.0,historical,road_avg,New England,,
2016,70017.0,historical,road_avg,New England,,
2017,71500.0,historical,road_avg,New England,,
2018,67688.0,historical,road_avg,New England,,
2019,70110.0,historical,road_avg,New England,,
2020,9646.0,historical,road_avg,New England,,
2021,69675.0,historical,road_avg,New England,,
2022,69428.0,historical,road_avg,New England,,
2023,74747.0,historical,road_avg,New England,,
2024,70055.0,historical,road_avg,New England,,
2025,71149.99970363083,forecast,road_avg,New England,66799.89542095119,75500.10398631048
2026,71188.29060533093,forecast,road_avg,New England,65036.314131028084,77340.26707963376
2027,71226.58150703102,forecast,road_avg,New England,63691.9798712069,78761.18314285514
2028,71264.87240873111,forecast,road_avg,New England,62564.66384337182,79965.08097409041
2029,71303.1633104312,forecast,road_avg,New England,61576.03442514656,81030.29219571585
2006,69494.0,historical,overall_avg,New England,,
2007,69991.0,historical,overall_avg,New England,,
2008,68759.0,historical,overall_avg,New England,,
2009,70249.0,historical,overall_avg,New England,,
2010,68047.0,historical,overall_avg,New England,,
2011,69668.0,historical,overall_avg,New England,,
2012,70048.0,historical,overall_avg,New England,,
2013,70051.0,historical,overall_avg,New England,,
2014,69498.0,historical,overall_avg,New England,,
2015,71017.0,historical,overall_avg,New England,,
2016,68423.0,historical,overall_avg,New England,,
2017,68689.0,historical,overall_avg,New England,,
2018,66783.0,historical,overall_avg,New England,,
2019,67931.0,historical,overall_avg,New England,,
2020,6431.0,historical,overall_avg,New England,,
2021,67665.0,historical,overall_avg,New England,,
2022,67757.0,historical,overall_avg,New England,,
2023,68538.0,historical,overall_avg,New England,,
2024,67504.0,historical,overall_avg,New England,,
2025,67647.36819015162,forecast,overall_avg,New England,65902.17592694907,69392.56045335418
2026,67516.54989730426,forecast,overall_avg,New England,65048.47532973461,69984.6244648739
2027,67385.7316044569,forecast,overall_avg,New England,64362.96993561397,70408.49327329984
2028,67254.91331160955,forecast,overall_avg,New England,63764.52878520444,70745.29783801465
2029,67124.09501876218,forecast,overall_avg,New England,63221.72648443457,71026.4635530898
2006,68150.0,historical,home_avg,San Francisco,,
2007,68028.0,historical,home_avg,San Francisco,,
2008,67512.0,historical,home_avg,San Francisco,,
2009,69732.0,historical,home_avg,San Francisco,,
2010,69732.0,historical,home_avg,San Francisco,,
2011,69732.0,historical,home_avg,San Francisco,,
2012,69732.0,historical,home_avg,San Francisco,,
2013,69732.0,historical,home_avg,San Francisco,,
2014,70774.0,historical,home_avg,San Francisco,,
2015,70799.0,historical,home_avg,San Francisco,,
2016,70178.0,historical,home_avg,San Francisco,,
2017,70144.0,historical,home_avg,San Francisco,,
2018,69148.0,historical,home_avg,San Francisco,,
2019,70305.0,historical,home_avg,San Francisco,,
2020,,historical,home_avg,San Francisco,,
2021,66670.0,historical,home_avg,San Francisco,,
2022,71629.0,historical,home_avg,San Francisco,,
2023,71655.0,historical,home_avg,San Francisco,,
2024,71422.0,historical,home_avg,San Francisco,,
2025,71253.24494533594,forecast,home_avg,San Francisco,68763.64143620079,73742.8484544711
2026,71427.9835350053,forecast,home_avg,San Francisco,67907.15248745472,74948.81458255589
2027,71602.72212467465,forecast,home_avg,San Francisco,67290.60235615079,75914.8418931985
2028,71777.46071434401,forecast,home_avg,San Francisco,66798.2536960737,76756.66773261431
2029,71952.19930401335,forecast,home_avg,San Francisco,66385.27662056513,77519.12198746158
2006,67610.0,historical,road_avg,San Francisco,,
2007,69201.0,historical,road_avg,San Francisco,,
2008,67031.0,historical,road_avg,San Francisco,,
2009,64717.0,historical,road_avg,San Francisco,,
2010,66046.0,historical,road_avg,San Francisco,,
2011,63430.0,historical,road_avg,San Francisco,,
2012,67131.0,historical,road_avg,San Francisco,,
2013,67804.0,historical,road_avg,San Francisco,,
2014,70493.0,historical,road_avg,San Francisco,,
2015,64520.0,historical,road_avg,San Francisco,,
2016,67726.0,historical,road_avg,San Francisco,,
2017,67856.0,historical,road_avg,San Francisco,,
2018,62408.0,historical,road_avg,San Francisco,,
2019,64751.0,historical,road_avg,San Francisco,,
2020,12023.0,historical,road_avg,San Francisco,,
2021,64008.0,historical,road_avg,San Francisco,,
2022,70571.0,historical,road_avg,San Francisco,,
2023,68118.0,historical,road_avg,San Francisco,,
2024,69219.0,historical,road_avg,San Francisco,,
2025,65981.4855773617,forecast,road_avg,San Francisco,61321.19414459201,70641.7770101314
2026,65919.21523678143,forecast,road_avg,San Francisco,59328.56788794738,72509.86258561547
2027,65856.94489620117,forecast,road_avg,San Francisco,57785.083356566094,73928.80643583623
2028,65794.67455562089,forecast,road_avg,San Francisco,56474.0916900815,75115.25742116028
2029,65732.40421504063,forecast,road_avg,San Francisco,55311.675776407705,76153.13265367356
2006,67880.0,historical,overall_avg,San Francisco,,
2007,68615.0,historical,overall_avg,San Francisco,,
2008,67272.0,historical,overall_avg,San Francisco,,
2009,67224.0,historical,overall_avg,San Francisco,,
2010,67766.0,historical,overall_avg,San Francisco,,
2011,66581.0,historical,overall_avg,San Francisco,,
2012,68431.0,historical,overall_avg,San Francisco,,
2013,68832.0,historical,overall_avg,San Francisco,,
2014,70633.0,historical,overall_avg,San Francisco,,
2015,67659.0,historical,overall_avg,San Francisco,,
2016,69033.0,historical,overall_avg,San Francisco,,
2017,69000.0,historical,overall_avg,San Francisco,,
2018,65778.0,historical,overall_avg,San Francisco,,
2019,67528.0,historical,overall_avg,San Francisco,,
2020,7214.0,historical,overall_avg,San Francisco,,
2021,65261.0,historical,overall_avg,San Francisco,,
2022,71131.0,historical,overall_avg,San Francisco,,
2023,69783.0,historical,overall_avg,San Francisco,,
2024,70385.0,historical,overall_avg,San Francisco,,
2025,69132.23779719725,forecast,overall_avg,San Francisco,66192.65044136734,72071.82515302715
2026,69226.39778821704,forecast,overall_avg,San Francisco,65069.193481821916,73383.60209461217
2027,69320.55777923684,forecast,overall_avg,San Francisco,64229.04312565238,74412.0724328213
2028,69414.71777025664,forecast,overall_avg,San Francisco,63535.54305859681,75293.89248191647
2029,69508.87776127644,forecast,overall_avg,San Francisco,62935.76060784189,76081.99491471099
2006,67977.0,historical,home_avg,Seattle,,
2007,68193.0,historical,home_avg,Seattle,,
2008,67995.0,historical,home_avg,Seattle,,
2009,67392.0,historical,home_avg,Seattle,,
2010,66992.0,historical,home_avg,Seattle,,
2011,66413.0,historical,home_avg,Seattle,,
2012,67946.0,historical,home_avg,Seattle,,
2013,68197.0,historical,home_avg,Seattle,,
2014,68412.0,historical,home_avg,Seattle,,
2015,69020.0,historical,home_avg,Seattle,,
2016,69073.0,historical,home_avg,Seattle,,
2017,68976.0,historical,home_avg,Seattle,,
2018,69001.0,historical,home_avg,Seattle,,
2019,68990.0,historical,home_avg,Seattle,,
2020,,historical,home_avg,Seattle,,
2021,68408.0,historical,home_avg,Seattle,,
2022,68832.0,historical,home_avg,Seattle,,
2023,68735.0,historical,home_avg,Seattle,,
2024,68660.0,historical,home_avg,Seattle,,
2025,68739.62244236891,forecast,home_avg,Seattle,67754.61256073994,69724.63232399788
2026,68818.4712096143,forecast,home_avg,Seattle,67425.4568759431,70211.48554328551
2027,68897.31997685968,forecast,home_avg,Seattle,67191.23281592091,70603.40713779845
2028,68976.16874410507,forecast,home_avg,Seattle,67006.14898084714,70946.18850736301
2029,69055.01751135047,forecast,home_avg,Seattle,66852.46845751908,71257.56656518186
2006,67471.0,historical,road_avg,Seattle,,
2007,67726.0,historical,road_avg,Seattle,,
2008,66393.0,historical,road_avg,Seattle,,
2009,66393.0,historical,road_avg,Seattle,,
2010,59192.0,historical,road_avg,Seattle,,
2011,67455.0,historical,road_avg,Seattle,,
2012,61812.0,historical,road_avg,Seattle,,
2013,68569.0,historical,road_avg,Seattle,,
2014,69999.0,historical,road_avg,Seattle,,
2015,68221.0,historical,road_avg,Seattle,,
2016,70739.0,historical,road_avg,Seattle,,
2017,72266.0,historical,road_avg,Seattle,,
2018,70761.0,historical,road_avg,Seattle,,
2019,68715.0,historical,road_avg,Seattle,,
2020,12369.0,historical,road_avg,Seattle,,
2021,65973.0,historical,road_avg,Seattle,,
2022,69335.0,historical,road_avg,Seattle,,
2023,71482.0,historical,road_avg,Seattle,,
2024,68544.0,historical,road_avg,Seattle,,
2025,70404.7463564388,forecast,road_avg,Seattle,64822.45140092263,75987.04131195496
2026,70670.49459865183,forecast,road_avg,Seattle,62775.937363393954,78565.0518339097
2027,70936.24284086486,forecast,road_avg,Seattle,61267.4243550754,80605.06132665431
2028,71201.99108307788,forecast,road_avg,Seattle,60037.401172045546,82366.58099411022
2029,71467.7393252909,forecast,road_avg,Seattle,58985.34833430258,83950.13031627922
2006,67724.0,historical,overall_avg,Seattle,,
2007,67960.0,historical,overall_avg,Seattle,,
2008,67194.0,historical,overall_avg,Seattle,,
2009,66892.0,historical,overall_avg,Seattle,,
2010,63092.0,historical,overall_avg,Seattle,,
2011,66934.0,historical,overall_avg,Seattle,,
2012,65083.0,historical,overall_avg,Seattle,,
2013,68383.0,historical,overall_avg,Seattle,,
2014,69206.0,historical,overall_avg,Seattle,,
2015,68620.0,historical,overall_avg,Seattle,,
2016,69850.0,historical,overall_avg,Seattle,,
2017,70621.0,historical,overall_avg,Seattle,,
2018,69881.0,historical,overall_avg,Seattle,,
2019,68853.0,historical,overall_avg,Seattle,,
2020,4123.0,historical,overall_avg,Seattle,,
2021,67118.0,historical,overall_avg,Seattle,,
2022,69069.0,historical,overall_avg,Seattle,,
2023,70190.0,historical,overall_avg,Seattle,,
2024,68606.0,historical,overall_avg,Seattle,,
2025,69780.89728354845,forecast,overall_avg,Seattle,66722.12319587718,72839.67137121971
2026,69958.94585116593,forecast,overall_avg,Seattle,65633.18605214584,74284.70565018602
2027,70136.9944187834,forecast,overall_avg,Seattle,64839.04229006164,75434.94654750517
2028,70315.04298640088,forecast,overall_avg,Seattle,64197.49481105835,76432.5911617434
2029,70493.09155401836,forecast,overall_avg,Seattle,63653.46476617052,77332.7183418662
2006,67646.0,historical,home_avg,Buffalo,,
2007,71054.0,historical,home_avg,Buffalo,,
2008,71405.0,historical,home_avg,Buffalo,,
2009,70128.0,historical,home_avg,Buffalo,,
2010,63195.0,historical,home_avg,Buffalo,,
2011,62694.0,historical,home_avg,Buffalo,,
2012,64950.0,historical,home_avg,Buffalo,,
2013,66267.0,historical,home_avg,Buffalo,,
2014,67522.0,historical,home_avg,Buffalo,,
2015,69880.0,historical,home_avg,Buffalo,,
2016,68509.0,historical,home_avg,Buffalo,,
2017,66775.0,historical,home_avg,Buffalo,,
2018,64961.0,historical,home_avg,Buffalo,,
2019,68839.0,historical,home_avg,Buffalo,,
2020,,historical,home_avg,Buffalo,,
2021,67816.0,historical,home_avg,Buffalo,,
2022,68431.0,historical,home_avg,Buffalo,,
2023,69609.0,historical,home_avg,Buffalo,,
2024,70695.0,historical,home_avg,Buffalo,,
2025,70407.93739816034,forecast,home_avg,Buffalo,65681.55069882135,75134.32409749934
2026,70127.74302498523,forecast,home_avg,Buffalo,63443.622853760215,76811.86319621025
2027,69847.54865181011,forecast,home_avg,Buffalo,61661.206752337195,78033.89055128302
2028,69567.35427863499,forecast,home_avg,Buffalo,60114.580879956986,79020.127677313
2029,69287.15990545988,forecast,home_avg,Buffalo,58718.63795778701,79855.68185313274
2006,68305.0,historical,road_avg,Buffalo,,
2007,71702.0,historical,road_avg,Buffalo,,
2008,68806.0,historical,road_avg,Buffalo,,
2009,67284.0,historical,road_avg,Buffalo,,
2010,67692.0,historical,road_avg,Buffalo,,
2011,67770.0,historical,road_avg,Buffalo,,
2012,67230.0,historical,road_avg,Buffalo,,
2013,66204.0,historical,road_avg,Buffalo,,
2014,68224.0,historical,road_avg,Buffalo,,
2015,72720.0,historical,road_avg,Buffalo,,
2016,66707.0,historical,road_avg,Buffalo,,
2017,63339.0,historical,road_avg,Buffalo,,
2018,69150.0,historical,road_avg,Buffalo,,
2019,71579.0,historical,road_avg,Buffalo,,
2020,5919.0,historical,road_avg,Buffalo,,
2021,68660.0,historical,road_avg,Buffalo,,
2022,69953.0,historical,road_avg,Buffalo,,
2023,69589.0,historical,road_avg,Buffalo,,
2024,69711.0,historical,road_avg,Buffalo,,
2025,68776.86151227476,forecast,road_avg,Buffalo,64593.964341743136,72959.75868280638
2026,68790.77014354568,forecast,road_avg,Buffalo,62875.26023496782,74706.28005212355
2027,68804.67877481661,forecast,road_avg,Buffalo,61559.68835261975,76049.66919701347
2028,68818.58740608754,forecast,road_avg,Buffalo,60452.79306502429,77184.38174715078
2029,68832.49603735846,forecast,road_avg,Buffalo,59479.25362115823,78185.73845355869
2006,67928.0,historical,overall_avg,Buffalo,,
2007,71357.0,historical,overall_avg,Buffalo,,
2008,70019.0,historical,overall_avg,Buffalo,,
2009,68611.0,historical,overall_avg,Buffalo,,
2010,65593.0,historical,overall_avg,Buffalo,,
2011,65402.0,historical,overall_avg,Buffalo,,
2012,66166.0,historical,overall_avg,Buffalo,,
2013,66233.0,historical,overall_avg,Buffalo,,
2014,67873.0,historical,overall_avg,Buffalo,,
2015,71300.0,historical,overall_avg,Buffalo,,
2016,67668.0,historical,overall_avg,Buffalo,,
2017,65057.0,historical,overall_avg,Buffalo,,
2018,67056.0,historical,overall_avg,Buffalo,,
2019,70209.0,historical,overall_avg,Buffalo,,
2020,0.0,historical,overall_avg,Buffalo,,
2021,68214.0,historical,overall_avg,Buffalo,,
2022,69192.0,historical,overall_avg,Buffalo,,
2023,69600.0,historical,overall_avg,Buffalo,,
2024,70174.0,historical,overall_avg,Buffalo,,
2025,69778.51932362317,forecast,overall_avg,Buffalo,65723.33269907895,73833.7059481674
2026,69831.58416357833,forecast,overall_avg,Buffalo,64096.684241193914,75566.48408596274
2027,69884.6490035335,forecast,overall_avg,Buffalo,62860.85973564917,76908.43827141784
2028,69937.71384348867,forecast,overall_avg,Buffalo,61827.34059440022,78048.08709257713
2029,69990.77868344384,forecast,overall_avg,Buffalo,60923.10572951504,79058.45163737265
2006,66858.0,historical,home_avg,Jacksonville,,
2007,65301.0,historical,home_avg,Jacksonville,,
2008,65167.0,historical,home_avg,Jacksonville,,
2009,49651.0,historical,home_avg,Jacksonville,,
2010,63032.0,historical,home_avg,Jacksonville,,
2011,62331.0,historical,home_avg,Jacksonville,,
2012,64984.0,historical,home_avg,Jacksonville,,
2013,59940.0,historical,home_avg,Jacksonville,,
2014,62961.0,historical,home_avg,Jacksonville,,
2015,61463.0,historical,home_avg,Jacksonville,,
2016,61915.0,historical,home_avg,Jacksonville,,
2017,64303.0,historical,home_avg,Jacksonville,,
2018,66674.0,historical,home_avg,Jacksonville,,
2019,63085.0,historical,home_avg,Jacksonville,,
2020,15919.0,historical,home_avg,Jacksonville,,
2021,59968.0,historical,home_avg,Jacksonville,,
2022,66459.0,historical,home_avg,Jacksonville,,
2023,69031.0,historical,home_avg,Jacksonville,,
2024,65764.0,historical,home_avg,Jacksonville,,
2025,65448.59173753886,forecast,home_avg,Jacksonville,56791.47396796019,74105.70950711753
2026,65863.94461383355,forecast,home_avg,Jacksonville,53620.93125303428,78106.95797463282
2027,66279.29749012823,forecast,home_avg,Jacksonville,51284.72966611062,81273.86531414583
2028,66694.65036642292,forecast,home_avg,Jacksonville,49380.41482726559,84008.88590558026
2029,67110.0032427176,forecast,home_avg,Jacksonville,47752.09942071834,86467.90706471687
2006,73164.0,historical,road_avg,Jacksonville,,
2007,69588.0,historical,road_avg,Jacksonville,,
2008,66441.0,historical,road_avg,Jacksonville,,
2009,69243.0,historical,road_avg,Jacksonville,,
2010,69667.0,historical,road_avg,Jacksonville,,
2011,68875.0,historical,road_avg,Jacksonville,,
2012,61337.0,historical,road_avg,Jacksonville,,
2013,65634.0,historical,road_avg,Jacksonville,,
2014,67786.0,historical,road_avg,Jacksonville,,
2015,67780.0,historical,road_avg,Jacksonville,,
2016,64303.0,historical,road_avg,Jacksonville,,
2017,66892.0,historical,road_avg,Jacksonville,,
2018,69663.0,historical,road_avg,Jacksonville,,
2019,63748.0,historical,road_avg,Jacksonville,,
2020,9544.0,historical,road_avg,Jacksonville,,
2021,66346.0,historical,road_avg,Jacksonville,,
2022,66561.0,historical,road_avg,Jacksonville,,
2023,66162.0,historical,road_avg,Jacksonville,,
2024,65372.0,historical,road_avg,Jacksonville,,
2025,65433.428053607066,forecast,road_avg,Jacksonville,60367.191426719946,70499.66468049418
2026,65382.98824279454,forecast,road_avg,Jacksonville,58218.247694859456,72547.72879072963
2027,65332.54843198201,forecast,road_avg,Jacksonville,56557.56919104715,74107.52767291687
2028,65282.108621169486,forecast,road_avg,Jacksonville,55149.635367395254,75414.58187494372
2029,65231.668810356954,forecast,road_avg,Jacksonville,53903.21932253812,76560.11829817579
2006,69560.0,historical,overall_avg,Jacksonville,,
2007,67301.0,historical,overall_avg,Jacksonville,,
2008,65804.0,historical,overall_avg,Jacksonville,,
2009,59447.0,historical,overall_avg,Jacksonville,,
2010,66350.0,historical,overall_avg,Jacksonville,,
2011,65603.0,historical,overall_avg,Jacksonville,,
2012,63160.0,historical,overall_avg,Jacksonville,,
2013,62977.0,historical,overall_avg,Jacksonville,,
2014,65534.0,historical,overall_avg,Jacksonville,,
2015,64832.0,historical,overall_avg,Jacksonville,,
2016,63189.0,historical,overall_avg,Jacksonville,,
2017,65598.0,historical,overall_avg,Jacksonville,,
2018,68268.0,historical,overall_avg,Jacksonville,,
2019,63417.0,historical,overall_avg,Jacksonville,,
2020,14180.0,historical,overall_avg,Jacksonville,,
2021,62970.0,historical,overall_avg,Jacksonville,,
2022,66513.0,historical,overall_avg,Jacksonville,,
2023,67681.0,historical,overall_avg,Jacksonville,,
2024,65557.0,historical,overall_avg,Jacksonville,,
2025,65577.92410329317,forecast,overall_avg,Jacksonville,60576.073664449475,70579.77454213687
2026,65744.68692095649,forecast,overall_avg,Jacksonville,58671.00219338191,72818.37164853107
2027,65911.4497386198,forecast,overall_avg,Jacksonville,57247.99064668183,74574.90883055778
2028,66078.2125562831,forecast,overall_avg,Jacksonville,56074.51167859571,76081.9134339705
2029,66244.97537394642,forecast,overall_avg,Jacksonville,55060.49777940475,77429.4529684881
2006,66378.0,historical,home_avg,Los Angeles Chargers,,
2007,65502.0,historical,home_avg,Los Angeles Chargers,,
2008,68138.0,historical,home_avg,Los Angeles Chargers,,
2009,67543.0,historical,home_avg,Los Angeles Chargers,,
2010,65530.0,historical,home_avg,Los Angeles Chargers,,
2011,65392.0,historical,home_avg,Los Angeles Chargers,,
2012,59964.0,historical,home_avg,Los Angeles Chargers,,
2013,64205.0,historical,home_avg,Los Angeles Chargers,,
2014,65432.0,historical,home_avg,Los Angeles Chargers,,
2015,66772.0,historical,home_avg,Los Angeles Chargers,,
2016,57024.0,historical,home_avg,Los Angeles Chargers,,
2017,25335.0,historical,home_avg,Los Angeles Chargers,,
2018,32768.0,historical,home_avg,Los Angeles Chargers,,
2019,31750.0,historical,home_avg,Los Angeles Chargers,,
2020,,historical,home_avg,Los Angeles Chargers,,
2021,70240.0,historical,home_avg,Los Angeles Chargers,,
2022,69955.0,historical,home_avg,Los Angeles Chargers,,
2023,69736.0,historical,home_avg,Los Angeles Chargers,,
2024,69966.0,historical,home_avg,Los Angeles Chargers,,
2025,69725.10734323935,forecast,home_avg,Los Angeles Chargers,45720.72818973403,93729.48649674466
2026,69486.55817385534,forecast,home_avg,Los Angeles Chargers,35539.23961862214,103433.87672908854
2027,69248.00900447136,forecast,home_avg,Los Angeles Chargers,27671.20470645296,110824.81330248975
2028,69009.45983508737,forecast,home_avg,Los Angeles Chargers,21000.701528076745,117018.21814209799
2029,68770.91066570337,forecast,home_avg,Los Angeles Chargers,15095.48712078663,122446.33421062012
2006,70115.0,historical,road_avg,Los Angeles Chargers,,
2007,71186.0,historical,road_avg,Los Angeles Chargers,,
2008,67865.0,historical,road_avg,Los Angeles Chargers,,
2009,72059.0,historical,road_avg,Los Angeles Chargers,,
2010,63059.0,historical,road_avg,Los Angeles Chargers,,
2011,67718.0,historical,road_avg,Los Angeles Chargers,,
2012,67793.0,historical,road_avg,Los Angeles Chargers,,
2013,67349.0,historical,road_avg,Los Angeles Chargers,,
2014,68259.0,historical,road_avg,Los Angeles Chargers,,
2015,65284.0,historical,road_avg,Los Angeles Chargers,,
2016,67734.0,historical,road_avg,Los Angeles Chargers,,
2017,72585.0,historical,road_avg,Los Angeles Chargers,,
2018,67676.0,historical,road_avg,Los Angeles Chargers,,
2019,63329.0,historical,road_avg,Los Angeles Chargers,,
2020,7670.0,historical,road_avg,Los Angeles Chargers,,
2021,65149.0,historical,road_avg,Los Angeles Chargers,,
2022,68481.0,historical,road_avg,Los Angeles Chargers,,
2023,70413.0,historical,road_avg,Los Angeles Chargers,,
2024,67900.0,historical,road_avg,Los Angeles Chargers,,
2025,67128.59670982619,forecast,road_avg,Los Angeles Chargers,61481.64887395731,72775.54454569507
2026,67149.16207929041,forecast,road_avg,Los Angeles Chargers,59163.17186379125,75135.15229478957
2027,67169.72744875464,forecast,road_avg,Los Angeles Chargers,57388.926889338625,76950.52800817064
2028,67190.29281821886,forecast,road_avg,Los Angeles Chargers,55896.39714648111,78484.1884899566
2029,67210.85818768309,forecast,road_avg,Los Angeles Chargers,54583.898961284955,79837.81741408122
2006,68122.0,historical,overall_avg,Los Angeles Chargers,,
2007,67938.0,historical,overall_avg,Los Angeles Chargers,,
2008,68011.0,historical,overall_avg,Los Angeles Chargers,,
2009,69801.0,historical,overall_avg,Los Angeles Chargers,,
2010,64294.0,historical,overall_avg,Los Angeles Chargers,,
2011,66555.0,historical,overall_avg,Los Angeles Chargers,,
2012,63879.0,historical,overall_avg,Los Angeles Chargers,,
2013,65777.0,historical,overall_avg,Los Angeles Chargers,,
2014,66845.0,historical,overall_avg,Los Angeles Chargers,,
2015,66028.0,historical,overall_avg,Los Angeles Chargers,,
2016,62379.0,historical,overall_avg,Los Angeles Chargers,,
2017,48960.0,historical,overall_avg,Los Angeles Chargers,,
2018,50222.0,historical,overall_avg,Los Angeles Chargers,,
2019,47540.0,historical,overall_avg,Los Angeles Chargers,,
2020,6392.0,historical,overall_avg,Los Angeles Chargers,,
2021,67844.0,historical,overall_avg,Los Angeles Chargers,,
2022,69175.0,historical,overall_avg,Los Angeles Chargers,,
2023,70055.0,historical,overall_avg,Los Angeles Chargers,,
2024,68872.0,historical,overall_avg,Los Angeles Chargers,,
2025,68573.94517317176,forecast,overall_avg,Los Angeles Chargers,56625.627536238215,80522.2628101053
2026,68252.3108229857,forecast,overall_avg,Los Angeles Chargers,51354.83797329264,85149.78367267876
2027,67930.67647279966,forecast,overall_avg,Los Angeles Chargers,47235.58326065946,88625.76968493986
2028,67609.04212261361,forecast,overall_avg,Los Angeles Chargers,43712.406848746534,91505.67739648069
2029,67287.40777242757,forecast,overall_avg,Los Angeles Chargers,40570.157319484526,94004.65822537061
2006,65983.0,historical,home_avg,Cincinnati,,
2007,65790.0,historical,home_avg,Cincinnati,,
2008,64582.0,historical,home_avg,Cincinnati,,
2009,64004.0,historical,home_avg,Cincinnati,,
2010,60364.0,historical,home_avg,Cincinnati,,
2011,49251.0,historical,home_avg,Cincinnati,,
2012,61188.0,historical,home_avg,Cincinnati,,
2013,63297.0,historical,home_avg,Cincinnati,,
2014,60703.0,historical,home_avg,Cincinnati,,
2015,61389.0,historical,home_avg,Cincinnati,,
2016,60511.0,historical,home_avg,Cincinnati,,
2017,53275.0,historical,home_avg,Cincinnati,,
2018,50753.0,historical,home_avg,Cincinnati,,
2019,47179.0,historical,home_avg,Cincinnati,,
2020,9566.0,historical,home_avg,Cincinnati,,
2021,60325.0,historical,home_avg,Cincinnati,,
2022,66247.0,historical,home_avg,Cincinnati,,
2023,66040.0,historical,home_avg,Cincinnati,,
2024,66294.0,historical,home_avg,Cincinnati,,
2025,65666.96349336565,forecast,home_avg,Cincinnati,54602.084933458325,76731.84205327297
2026,65044.321853341076,forecast,home_avg,Cincinnati,49396.22052790886,80692.4231787733
2027,64421.680213316504,forecast,home_avg,Cincinnati,45256.74836797747,83586.61205865553
2028,63799.03857329193,forecast,home_avg,Cincinnati,41669.281453477284,85928.79569310657
2029,63176.39693326736,forecast,home_avg,Cincinnati,38434.5763105346,87918.21755600012
2006,70869.0,historical,road_avg,Cincinnati,,
2007,69503.0,historical,road_avg,Cincinnati,,
2008,69974.0,historical,road_avg,Cincinnati,,
2009,65379.0,historical,road_avg,Cincinnati,,
2010,68866.0,historical,road_avg,Cincinnati,,
2011,66124.0,historical,road_avg,Cincinnati,,
2012,66488.0,historical,road_avg,Cincinnati,,
2013,61928.0,historical,road_avg,Cincinnati,,
2014,67442.0,historical,road_avg,Cincinnati,,
2015,67125.0,historical,road_avg,Cincinnati,,
2016,72587.0,historical,road_avg,Cincinnati,,
2017,69039.0,historical,road_avg,Cincinnati,,
2018,63157.0,historical,road_avg,Cincinnati,,
2019,66276.0,historical,road_avg,Cincinnati,,
2020,9856.0,historical,road_avg,Cincinnati,,
2021,64148.0,historical,road_avg,Cincinnati,,
2022,71740.0,historical,road_avg,Cincinnati,,
2023,68791.0,historical,road_avg,Cincinnati,,
2024,72934.0,historical,road_avg,Cincinnati,,
2025,70218.61200566447,forecast,road_avg,Cincinnati,63773.45846852748,76663.76554280147
2026,70909.6827138311,forecast,road_avg,Cincinnati,61794.859170035044,80024.50625762716
2027,71600.75342199775,forecast,road_avg,Cincinnati,60437.42003309422,82764.0868109013
2028,72291.8241301644,forecast,road_avg,Cincinnati,59401.517055890414,85182.13120443838
2029,72982.89483833105,forecast,road_avg,Cincinnati,58571.09340386952,87394.69627279259
2006,68263.0,historical,overall_avg,Cincinnati,,
2007,67523.0,historical,overall_avg,Cincinnati,,
2008,67278.0,historical,overall_avg,Cincinnati,,
2009,64691.0,historical,overall_avg,Cincinnati,,
2010,64615.0,historical,overall_avg,Cincinnati,,
2011,57687.0,historical,overall_avg,Cincinnati,,
2012,63838.0,historical,overall_avg,Cincinnati,,
2013,62612.0,historical,overall_avg,Cincinnati,,
2014,64072.0,historical,overall_avg,Cincinnati,,
2015,64257.0,historical,overall_avg,Cincinnati,,
2016,66952.0,historical,overall_avg,Cincinnati,,
2017,61157.0,historical,overall_avg,Cincinnati,,
2018,56955.0,historical,overall_avg,Cincinnati,,
2019,56727.0,historical,overall_avg,Cincinnati,,
