season,attendance,type,metric,team,lower,upper
2018,69211.0,historical,overall_avg,Kansas City,,
2019,69735.0,historical,overall_avg,Kansas City,,
2020,10965.0,historical,overall_avg,Kansas City,,
2021,70173.0,historical,overall_avg,Kansas City,,
2022,70764.0,historical,overall_avg,Kansas City,,
2023,70914.0,historical,overall_avg,Kansas City,,
2024,71612.0,historical,overall_avg,Kansas City,,
2025,71381.16166914096,forecast,overall_avg,Kansas City,67039.67549605307,75722.64784222885
2026,71396.25372248885,forecast,overall_avg,Kansas City,65256.46509565268,77536.04234932501
2027,71411.34577583674,forecast,overall_avg,Kansas City,63891.67114369074,78931.02040798275
2028,71426.43782918464,forecast,overall_avg,Kansas City,62743.46548300885,80109.41017536042
2029,71441.52988253252,forecast,overall_avg,Kansas City,61733.671676132566,81149.38808893246
2006,77321.0,historical,home_avg,NY Jets,,
2007,77106.0,historical,home_avg,NY Jets,,
2008,78482.0,historical,home_avg,NY Jets,,
2009,77052.0,historical,home_avg,NY Jets,,
2010,78596.0,historical,home_avg,NY Jets,,
2011,78986.0,historical,home_avg,NY Jets,,
2012,79088.0,historical,home_avg,NY Jets,,
2013,76957.0,historical,home_avg,NY Jets,,
2014,78160.0,historical,home_avg,NY Jets,,
2015,78160.0,historical,home_avg,NY Jets,,
2016,78160.0,historical,home_avg,NY Jets,,
2017,77562.0,historical,home_avg,NY Jets,,
2018,77982.0,historical,home_avg,NY Jets,,
2019,78523.0,historical,home_avg,NY Jets,,
2020,,historical,home_avg,NY Jets,,
2021,71676.0,historical,home_avg,NY Jets,,
2022,78009.0,historical,home_avg,NY Jets,,
2023,77890.0,historical,home_avg,NY Jets,,
2024,78789.0,historical,home_avg,NY Jets,,
2025,77475.46279340443,forecast,home_avg,NY Jets,74162.1189647406,80788.80662206825
2026,77465.8505403707,forecast,home_avg,NY Jets,72780.07476106912,82151.62631967227
2027,77456.23828733698,forecast,home_avg,NY Jets,71717.35843314645,83195.1181415275
2028,77446.62603430325,forecast,home_avg,NY Jets,70819.9383769756,84073.3136916309
2029,77437.01378126953,forecast,home_avg,NY Jets,70028.1517475478,84845.87581499126
2006,69934.0,historical,road_avg,NY Jets,,
2007,69676.0,historical,road_avg,NY Jets,,
2008,67796.0,historical,road_avg,NY Jets,,
2009,63993.0,historical,road_avg,NY Jets,,
2010,66825.0,historical,road_avg,NY Jets,,
2011,69438.0,historical,road_avg,NY Jets,,
2012,63702.0,historical,road_avg,NY Jets,,
2013,69181.0,historical,road_avg,NY Jets,,
2014,66494.0,historical,road_avg,NY Jets,,
2015,72795.0,historical,road_avg,NY Jets,,
2016,67887.0,historical,road_avg,NY Jets,,
2017,65357.0,historical,road_avg,NY Jets,,
2018,63370.0,historical,road_avg,NY Jets,,
2019,61065.0,historical,road_avg,NY Jets,,
2020,7546.0,historical,road_avg,NY Jets,,
2021,66011.0,historical,road_avg,NY Jets,,
2022,69742.0,historical,road_avg,NY Jets,,
2023,73117.0,historical,road_avg,NY Jets,,
2024,65927.0,historical,road_avg,NY Jets,,
2025,66987.9339533493,forecast,road_avg,NY Jets,60764.83150251941,73211.03640417919
2026,66955.5581143764,forecast,road_avg,NY Jets,58154.76222837552,75756.35400037728
2027,66923.1822754035,forecast,road_avg,NY Jets,56144.45264985972,77701.91190094726
2028,66890.80643643059,forecast,road_avg,NY Jets,54444.6015347708,79337.01133809038
2029,66858.43059745769,forecast,road_avg,NY Jets,52943.1504864565,80773.71070845886
2006,74155.0,historical,overall_avg,NY Jets,,
2007,73639.0,historical,overall_avg,NY Jets,,
2008,73139.0,historical,overall_avg,NY Jets,,
2009,70958.0,historical,overall_avg,NY Jets,,
2010,72710.0,historical,overall_avg,NY Jets,,
2011,74212.0,historical,overall_avg,NY Jets,,
2012,71395.0,historical,overall_avg,NY Jets,,
2013,73069.0,historical,overall_avg,NY Jets,,
2014,72327.0,historical,overall_avg,NY Jets,,
2015,75477.0,historical,overall_avg,NY Jets,,
2016,73023.0,historical,overall_avg,NY Jets,,
2017,71459.0,historical,overall_avg,NY Jets,,
2018,70676.0,historical,overall_avg,NY Jets,,
2019,69794.0,historical,overall_avg,NY Jets,,
2020,6036.0,historical,overall_avg,NY Jets,,
2021,69010.0,historical,overall_avg,NY Jets,,
2022,73633.0,historical,overall_avg,NY Jets,,
2023,75644.0,historical,overall_avg,NY Jets,,
2024,71554.0,historical,overall_avg,NY Jets,,
2025,71979.43697417465,forecast,overall_avg,NY Jets,68433.69421434408,75525.17973400521
2026,71923.63798395175,forecast,overall_avg,NY Jets,66909.20048431316,76938.07548359034
2027,71867.83899372886,forecast,overall_avg,NY Jets,65726.43238313284,78009.24560432488
2028,71812.04000350596,forecast,overall_avg,NY Jets,64720.554483844826,78903.52552316709
2029,71756.24101328306,forecast,overall_avg,NY Jets,63827.7191715742,79684.7628549919
2006,76347.0,historical,home_avg,Denver,,
2007,76611.0,historical,home_avg,Denver,,
2008,75509.0,historical,home_avg,Denver,,
2009,75116.0,historical,home_avg,Denver,,
2010,74908.0,historical,home_avg,Denver,,
2011,75327.0,historical,home_avg,Denver,,
2012,76632.0,historical,home_avg,Denver,,
2013,76872.0,historical,home_avg,Denver,,
2014,76939.0,historical,home_avg,Denver,,
2015,76922.0,historical,home_avg,Denver,,
2016,76774.0,historical,home_avg,Denver,,
2017,76355.0,historical,home_avg,Denver,,
2018,76446.0,historical,home_avg,Denver,,
2019,75937.0,historical,home_avg,Denver,,
2020,5280.0,historical,home_avg,Denver,,
2021,76236.0,historical,home_avg,Denver,,
2022,75980.0,historical,home_avg,Denver,,
2023,76388.0,historical,home_avg,Denver,,
2024,73969.0,historical,home_avg,Denver,,
2025,74036.98870021818,forecast,home_avg,Denver,72525.64328872222,75548.33411171414
2026,73959.60904384193,forecast,home_avg,Denver,71822.24386547401,76096.97422220986
2027,73882.2293874657,forecast,home_avg,Denver,71264.50234696861,76499.9564279628
2028,73804.84973108946,forecast,home_avg,Denver,70782.15890809754,76827.54055408138
2029,73727.47007471323,forecast,home_avg,Denver,70347.99899712588,77106.94115230058
2006,68980.0,historical,road_avg,Denver,,
2007,67942.0,historical,road_avg,Denver,,
2008,70658.0,historical,road_avg,Denver,,
2009,67341.0,historical,road_avg,Denver,,
2010,63749.0,historical,road_avg,Denver,,
2011,63374.0,historical,road_avg,Denver,,
2012,68089.0,historical,road_avg,Denver,,
2013,72396.0,historical,road_avg,Denver,,
2014,67656.0,historical,road_avg,Denver,,
2015,65876.0,historical,road_avg,Denver,,
2016,64968.0,historical,road_avg,Denver,,
2017,62101.0,historical,road_avg,Denver,,
2018,60094.0,historical,road_avg,Denver,,
2019,62086.0,historical,road_avg,Denver,,
2020,4335.0,historical,road_avg,Denver,,
2021,69719.0,historical,road_avg,Denver,,
2022,71463.0,historical,road_avg,Denver,,
2023,67435.0,historical,road_avg,Denver,,
2024,69250.0,historical,road_avg,Denver,,
2025,69123.29773981743,forecast,road_avg,Denver,62630.137763368584,75616.45771626628
2026,69006.15958304598,forecast,road_avg,Denver,59823.444681693865,78188.87448439811
2027,68889.02142627453,forecast,road_avg,Denver,57642.5384453924,80135.50440715665
2028,68771.88326950309,forecast,road_avg,Denver,55785.5633166054,81758.20322240077
2029,68654.74511273163,forecast,road_avg,Denver,54135.59801661109,83173.89220885218
2006,72909.0,historical,overall_avg,Denver,,
2007,72896.0,historical,overall_avg,Denver,,
2008,73084.0,historical,overall_avg,Denver,,
2009,71228.0,historical,overall_avg,Denver,,
2010,69700.0,historical,overall_avg,Denver,,
2011,69350.0,historical,overall_avg,Denver,,
2012,72361.0,historical,overall_avg,Denver,,
2013,74634.0,historical,overall_avg,Denver,,
2014,72297.0,historical,overall_avg,Denver,,
2015,71399.0,historical,overall_avg,Denver,,
2016,70871.0,historical,overall_avg,Denver,,
2017,69228.0,historical,overall_avg,Denver,,
2018,68270.0,historical,overall_avg,Denver,,
2019,69011.0,historical,overall_avg,Denver,,
2020,4713.0,historical,overall_avg,Denver,,
2021,73169.0,historical,overall_avg,Denver,,
2022,73589.0,historical,overall_avg,Denver,,
2023,72175.0,historical,overall_avg,Denver,,
2024,71609.0,historical,overall_avg,Denver,,
2025,71645.54409055205,forecast,overall_avg,Denver,68352.27487043617,74938.81331066793
2026,71679.8239149866,forecast,overall_avg,Denver,67022.43791935284,76337.20991062035
2027,71714.10373942116,forecast,overall_avg,Denver,66009.9941271777,77418.21335166461
2028,71748.38356385572,forecast,overall_avg,Denver,65161.84512362395,78334.9220040875
2029,71782.66338829027,forecast,overall_avg,Denver,64418.68954390343,79146.63723267711
2006,73567.0,historical,home_avg,Carolina,,
2007,73402.0,historical,home_avg,Carolina,,
2008,73210.0,historical,home_avg,Carolina,,
2009,73289.0,historical,home_avg,Carolina,,
2010,72620.0,historical,home_avg,Carolina,,
2011,72292.0,historical,home_avg,Carolina,,
2012,73293.0,historical,home_avg,Carolina,,
2013,73443.0,historical,home_avg,Carolina,,
2014,73607.0,historical,home_avg,Carolina,,
2015,74056.0,historical,home_avg,Carolina,,
2016,73792.0,historical,home_avg,Carolina,,
2017,73617.0,historical,home_avg,Carolina,,
2018,73772.0,historical,home_avg,Carolina,,
2019,72220.0,historical,home_avg,Carolina,,
2020,4889.0,historical,home_avg,Carolina,,
2021,71906.0,historical,home_avg,Carolina,,
2022,71351.0,historical,home_avg,Carolina,,
2023,71635.0,historical,home_avg,Carolina,,
2024,70612.0,historical,home_avg,Carolina,,
2025,70488.23129441937,forecast,home_avg,Carolina,69383.10383694305,71593.35875189569
